Surprisal	Preposition	E/D	Connective	Crossing
33.11135482788086	Near		. Thus, 	E_nX
33.55538558959961	By		. Thus, 	E_nX
33.477901458740234	Near		. Thus, 	E_nX
33.84706115722656	Near		. That is, 	E_nX
34.331382751464844	By		. That is, 	E_nX
34.087345123291016	Near		. That is, 	E_nX
33.370147705078125	Near		. Therefore, 	E_nX
33.75298309326172	By		. Therefore, 	E_nX
33.6978759765625	Near		. Therefore, 	E_nX
34.03097152709961	Near		. In short, 	E_nX
34.42931365966797	By		. In short, 	E_nX
34.38481903076172	Near		. In short, 	E_nX
34.289024353027344	Near		. Again, 	E_nX
34.96516799926758	By		. Again, 	E_nX
34.71579360961914	Near		. Again, 	E_nX
36.30418395996094	Near		. I repeat, 	E_nX
36.64323425292969	By		. I repeat, 	E_nX
36.446205139160156	Near		. I repeat, 	E_nX
34.28483200073242	Near		; thus, 	E_nX
34.61090087890625	By		; thus, 	E_nX
34.503334045410156	Near		; thus, 	E_nX
33.429161071777344	Near		; that is, 	E_nX
33.753395080566406	By		; that is, 	E_nX
33.43715286254883	Near		; that is, 	E_nX
34.493019104003906	Near		; therefore, 	E_nX
34.69496154785156	By		; therefore, 	E_nX
34.610294342041016	Near		; therefore, 	E_nX
33.845977783203125	Near		; in short, 	E_nX
34.38526153564453	By		; in short, 	E_nX
33.99906921386719	Near		; in short, 	E_nX
35.76133728027344	Near		; again, 	E_nX
36.3593635559082	By		; again, 	E_nX
36.082984924316406	Near		; again, 	E_nX
35.23430633544922	Near		; I repeat, 	E_nX
35.630653381347656	By		; I repeat, 	E_nX
35.57263946533203	Near		; I repeat, 	E_nX
33.11135482788086	Near		. Thus, 	E_nX
33.84706115722656	Near		. That is, 	E_nX
33.370147705078125	Near		. Therefore, 	E_nX
34.03097152709961	Near		. In short, 	E_nX
34.289024353027344	Near		. Again, 	E_nX
36.30418395996094	Near		. I repeat, 	E_nX
34.28483200073242	Near		; thus, 	E_nX
33.429161071777344	Near		; that is, 	E_nX
34.493019104003906	Near		; therefore, 	E_nX
33.845977783203125	Near		; in short, 	E_nX
